trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-133.19989014024353,"{0: 20, 1: 4, 2: 8, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-140.62126599316753,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-112.92875899851225,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-153.1852144035853,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-96.38572801312705,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-157.85738485157114,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-115.66307475344573,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,16.480897087055343,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,13,-29.713132449560312,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-46.127701545959376,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-5.403518585582477,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,5,-26.061801511253325,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,11,-30.21751736491127,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,3,-39.305103197811064,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,12,13.775910005884153,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,9,-28.812555814188332,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,3,-28.39378303655546,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,13.74182278476704,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,11,34.31668440702927,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,-17.61559554999504,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,15,-64.01565719515253,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",35,25,15.930342522765882,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,8.234545953629095,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,1,24.384390483673535,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,22,15.595907123169669,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,14.380503767351737,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,19,-23.039726513652994,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,3,-22.73239181854617,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,15,11.007464235326507,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,5,25.93639784126961,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
