trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-93.42888551887349,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-106.9707322208782,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-61.454483724076916,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9992001066609779}",25,0,-143.15400786356128,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9987502603949663}",25,0,-111.3154616997437,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-82.3960585017267,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9975510002532796}",20,0,-94.17817244627454,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9968017063026194}",30,0,-156.06137336933978,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9959527330119943}",25,0,-86.83104697082835,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9950041652780257}",25,0,-175.65429800687255,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9939560979566968}",25,0,-127.88778843612702,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,0,-44.04745644204869,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9915618937147881}",30,0,-184.06634930105122,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9902159962126371}",30,0,-93.9989307100051,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9887710779360422}",30,0,-153.08166578854076,"{0: 13, 1: 4, 2: 11, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9872272833756269}",25,0,-109.2372123531136,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9855847669095608}",25,0,-131.1394654221435,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9838436927881214}",35,0,-205.5338598673206,"{0: 19, 1: 7, 2: 5, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9820042351172703}",20,0,-199.54718851169645,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-110.43969165612874,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9780309147241483}",30,0,-210.31431350083406,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9758974493306055}",25,0,-151.64849748051435,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9736663950053749}",25,0,-155.6980214373167,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9713379748520297}",20,0,-75.18277022698051,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9689124217106447}",25,0,-165.83259511266107,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9663899781345132}",30,0,-298.6756930444482,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 6}",0
27,False,"{'a': 0.5, 'e': 0.9637708963658905}",25,0,-53.615738267483685,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9610554383107709}",20,0,-200.1830942471777,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
29,False,"{'a': 0.5, 'e': 0.9582438755126972}",35,0,-93.52458012497328,"{0: 22, 1: 4, 2: 8, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.955336489125606}",20,3,3.6952496762456906,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.9523335698857134}",25,0,-140.7460281045428,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9492354180824408}",25,0,-186.0993780459862,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.946042343528387}",30,0,-294.6476502213671,"{0: 15, 1: 5, 2: 2, 3: 3, 4: 5}",0
34,False,"{'a': 0.5, 'e': 0.9427546655283462}",20,0,-83.41833975268906,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,0,-138.35248005478027,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9358968236779348}",25,0,-210.75012629642745,"{0: 14, 1: 4, 2: 1, 3: 2, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.9323273456060345}",20,10,-26.255661440715702,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.9286646355765102}",20,0,-109.34454160944728,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9249090598573131}",30,0,-156.28757689599684,"{0: 16, 1: 9, 2: 1, 3: 2, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-69.42344844048621,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9171208228166051}",20,0,-88.36622327009279,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9130889403123083}",25,11,-6.070966729049488,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.9089657496748851}",20,0,-69.92291038837688,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9047516632199635}",20,0,-13.44747444100276,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-90.50179640813161,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.8960524975255253}",20,0,-126.48294902243346,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.8915682881953289}",20,0,-147.67166842515076,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.8869949227792842}",20,0,-98.47782430380343,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.8823328586101216}",25,3,-88.97138323109843,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,2,-29.054034919898115,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.8727445076457513}",30,0,-90.40492122935778,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.8678191796776499}",20,0,-51.993304563656,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.862807070514761}",25,0,-35.58916452161925,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.8577086813638242}",20,0,-78.84984297772701,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.8525245220595057}",25,0,-88.07832484987178,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
